model_name,num_features,descriptors,R2_train,R2_test,mae_train,mae_test,mse_train,mse_test,rmse_train,rmse_test,loo_r2,coefficient,intercept
DecisionTree,4,"('BCUT2D_MWLOW', 'EState_VSA5', 'EState_VSA8', 'fr_aniline')",1.0,-1.1364128973980434,0.0,7.387499999999999,0.0,99.63625,0.0,9.98179593059285,-1.97280679740106,,
SVR,1,"('BCUT2D_MWLOW',)",-0.203067488054389,-1.1568566340287547,5.759129391289239,8.220682624174497,59.092354620668544,101.0285442186302,7.68715517084627,10.051295648752463,-0.48642861780539093,,
SVR,2,"('BCUT2D_MWLOW', 'EState_VSA5')",-0.20362005927597726,-1.1815130728917278,5.765477731619477,8.482689414785165,60.13729360960809,102.21598676803441,7.754823892881649,10.110192222111031,-0.3941144730055368,,
MultiTaskLinear,3,"('BCUT2D_MWLOW', 'EState_VSA5', 'fr_aniline')",0.12347268857381533,-1.2153272704604103,5.625579750114115,8.369371109211054,43.97288868593328,103.86215538938409,6.6312056736262734,10.191278398188526,-0.2825994411408773,"[[130.30484108   0.92038449  -3.06267008]
 [ 58.29355348   0.82487463   2.57819826]]",[-1299.36908871  -581.67468037]
SVR,3,"('BCUT2D_MWLOW', 'EState_VSA5', 'fr_aniline')",-0.22429812978212116,-1.2319618601879496,5.793473757446623,8.50434287661932,61.03745045699044,104.60711635167847,7.812646827867649,10.227762040235316,-0.38956407093261913,,
MultiTaskLinear,2,"('BCUT2D_MWLOW', 'EState_VSA5')",0.11411016473367758,-1.2322706395309917,5.783239011361354,8.397398382637954,44.41907943196024,104.87069085515174,6.664764019225305,10.2406391819628,-0.27068816933815343,"[[132.8460952    0.97830873]
 [ 56.15429043   0.77611321]]",[-1325.17810528  -559.94829133]
SVR,1,"('fr_aniline',)",-0.21359370310866088,-1.2525860781927636,5.771052631681568,8.375,60.29868421079313,105.5425,7.765222740578221,10.273387951401427,-0.3165768558538792,,
XGB,2,"('EState_VSA5', 'fr_aniline')",0.1668606698513031,-1.264573335647583,5.242129325866699,8.282626152038574,42.776031494140625,105.58891296386719,6.540338790471074,10.275646595901748,-0.28414964175670765,,
GB,2,"('EState_VSA5', 'fr_aniline')",0.1668605912471951,-1.2647494699452657,5.2419635479464795,8.282867552584857,42.776031751687185,105.59714144396565,6.540338810160158,10.276046975562425,-0.28417836487097314,,
DecisionTree,2,"('EState_VSA5', 'fr_aniline')",0.16686059137425824,-1.2648010969656067,5.241938178780284,8.282936507936508,42.77603174603175,105.5995490047871,6.540338809727807,10.276164119202607,-0.2841857763099451,,
DecisionTree,1,"('BCUT2D_MWLOW',)",1.0,-1.2663021636045553,0.0,7.3625,0.0,106.26625,0.0,10.308552274689205,-2.5098190893610512,,
DecisionTree,2,"('BCUT2D_MWLOW', 'fr_aniline')",1.0,-1.2663021636045553,0.0,7.3625,0.0,106.26625,0.0,10.308552274689205,-2.5098190893610512,,
SVR,2,"('BCUT2D_MWLOW', 'fr_aniline')",-0.22736874175783983,-1.2670749280877243,5.84524466231913,8.400018683406792,60.943276069328604,106.24952072249206,7.806617453758613,10.307740815643943,-0.35605128022952504,,
XGB,1,"('EState_VSA5',)",0.1563776135444641,-1.2804338932037354,5.385693550109863,8.33166790008545,43.45853805541992,106.40135192871094,6.5923090078833475,10.3151030983074,-0.2742510938465266,,
GB,1,"('EState_VSA5',)",0.1563776424661596,-1.2806029994887589,5.385584019286554,8.33188972881623,43.458537598557605,106.4092654535705,6.5923089732321865,10.315486680402941,-0.2742827605142846,,
DecisionTree,1,"('EState_VSA5',)",0.15637764257648518,-1.2806563790066274,5.3855639097744366,8.331964285714285,43.45853759398497,106.41175841836736,6.5923089728853705,10.315607515719439,-0.274287601424414,,
XGB,3,"('BCUT2D_MWLOW', 'EState_VSA5', 'fr_aniline')",1.0,-1.295628547668457,0.0012309957528486848,8.023022651672363,1.923865966091398e-06,106.6950454711914,0.001387034954891692,10.329329381484134,-1.9533216684240824,,
XGB,2,"('BCUT2D_MWLOW', 'EState_VSA5')",0.9999999403953552,-1.356845498085022,0.0013180372770875692,8.254674911499023,2.2613055534748128e-06,109.46736907958984,0.0015037637957720663,10.462665486365788,-1.926945230355658,,
SVR,2,"('EState_VSA5', 'EState_VSA8')",-0.17431146423764954,-1.3784121147704294,5.6794570587181035,8.781621928122924,59.584965581377254,111.54170971852064,7.719129846127558,10.561330868717286,-0.3955527898232495,,
SVR,3,"('BCUT2D_MWLOW', 'EState_VSA5', 'EState_VSA8')",-0.17522857714435291,-1.379456641000872,5.682182748357159,8.779504707479871,59.62081616799533,111.59127928011497,7.721451687862544,10.563677355926533,-0.3954611054473497,,
SVR,3,"('EState_VSA5', 'EState_VSA8', 'fr_aniline')",-0.18034884717399402,-1.3893531461686082,5.694735401526851,8.78143602516407,59.816299542202685,112.0496215293193,7.734099788740942,10.585349381542363,-0.3937853108168585,,
SVR,4,"('BCUT2D_MWLOW', 'EState_VSA5', 'EState_VSA8', 'fr_aniline')",-0.1834660255987851,-1.3943346113061124,5.702076493952715,8.781811635119864,59.93553229388357,112.28011749738033,7.741804201469033,10.59623128746161,-0.3939239685983328,,
SVR,1,"('EState_VSA8',)",-0.17688846086487342,-1.4452201434601526,5.677580520761131,8.90238908443298,60.41408092960483,114.75630998055178,7.77264954372734,10.712437163435395,-0.3913151132368443,,
SVR,2,"('BCUT2D_MWLOW', 'EState_VSA8')",-0.17738202843969975,-1.4459052401726507,5.678245967988967,8.902361242998404,60.428406366954675,114.78728119858424,7.773571017682586,10.713882638828197,-0.3909738349508428,,
SVR,2,"('EState_VSA8', 'fr_aniline')",-0.19224231097446576,-1.451602780911916,5.710202692281626,8.860346649513069,60.83001871535733,115.03282684424659,7.799360147817085,10.725335745059294,-0.3837865705201744,,
SVR,3,"('BCUT2D_MWLOW', 'EState_VSA8', 'fr_aniline')",-0.1936573368423311,-1.45269249325839,5.714013547127382,8.859821410386571,60.86523275337866,115.07895807927477,7.8016173165170475,10.727486102497396,-0.38386060903394637,,
GB,2,"('BCUT2D_MWLOW', 'EState_VSA5')",0.9940996397034728,-1.7293488957926837,0.4547841735361424,9.732492987530534,0.29419684574314797,127.22628064361818,0.5423991572109492,11.279462781693914,-2.3001480145910644,,
GB,3,"('BCUT2D_MWLOW', 'EState_VSA5', 'fr_aniline')",0.9941242101614676,-1.7332254795428501,0.46078585891085744,9.728412441271553,0.293468901344307,127.40183900733899,0.5417277003664359,11.287242311890845,-2.2358677761003314,,
MLP,3,"('BCUT2D_MWLOW', 'EState_VSA5', 'fr_aniline')",0.16570549634543275,-1.7874316790651517,5.316568941120511,9.130390749408697,42.85317561056072,130.27598239811542,6.5462336966045385,11.413850463279928,-0.2866372255641142,,
MLP,2,"('BCUT2D_MWLOW', 'EState_VSA5')",0.15389075436056066,-1.8819378368694868,5.457784817536568,9.284547588749392,43.63411670830172,134.7617572472456,6.605612515755198,11.60869317568716,-0.3092163279630633,,
GaussianProcess,2,"('EState_VSA8', 'fr_aniline')",0.49103849542184363,-2.224190434734638,3.9849134749245874,10.192989707185383,30.592038788695234,151.67326230365046,5.531007032059825,12.31556991387936,-0.7022501016856344,,
GaussianProcess,1,"('EState_VSA8',)",0.49103849542184363,-2.224190434734638,3.9849134749245874,10.192989707185383,30.592038788695234,151.67326230365046,5.531007032059825,12.31556991387936,-0.7022503870598804,,
DecisionTree,2,"('BCUT2D_MWLOW', 'EState_VSA5')",1.0,-2.527087821859946,0.0,11.325,0.0,165.4875,0.0,12.864194494798344,-2.49947053124256,,
DecisionTree,3,"('BCUT2D_MWLOW', 'EState_VSA5', 'fr_aniline')",1.0,-2.527087821859946,0.0,11.325,0.0,165.4875,0.0,12.864194494798344,-2.49947053124256,,
GaussianProcess,3,"('EState_VSA5', 'EState_VSA8', 'fr_aniline')",0.5010901186484868,-2.778202224221532,3.819999614835102,10.752504375818289,30.0141877588566,178.4807522431721,5.4785205812205,13.359668867272577,-0.7446359504060265,,
GaussianProcess,2,"('EState_VSA5', 'EState_VSA8')",0.5010901186484868,-2.778202224221532,3.819999614835102,10.752504375818289,30.0141877588566,178.4807522431721,5.4785205812205,13.359668867272577,-0.7446359504060552,,
